iter	RMSE
0	39637.87707
1	36629.79146
2	33992.69045
3	31551.30169
4	29299.53755
5	27212.83102
6	25297.88871
7	23676.60699
8	22273.23518
9	20765.95413
10	19497.90939
11	18370.92567
12	17396.80926
13	16483.20851
14	15582.52223
15	14712.90679
16	14025.03793
17	13275.14325
18	12639.37657
19	12031.79387
20	11484.44847
21	10933.38073
22	10444.04085
23	10032.39607
24	9646.543597
25	9245.093354
26	8905.144413
27	8564.37544
28	8216.225175
29	7971.091816
30	7674.888177
31	7404.503293
32	7144.362633
33	6896.196198
34	6674.667689
35	6454.484173
36	6232.773308
37	6056.268653
38	5931.947766
39	5747.164484
40	5585.56593
41	5473.846233
42	5360.033821
43	5222.106839
44	5055.232729
45	4966.250203
46	4837.366413
47	4760.607104
48	4686.790302
49	4570.244464
50	4483.494519
51	4410.752723
52	4306.001356
53	4211.816707
54	4151.764693
55	4086.372098
56	4031.036533
57	3892.786444
58	3833.510364
59	3768.292756
60	3720.322521
61	3664.82139
62	3551.631773
63	3498.787768
64	3434.615829
65	3394.954256
66	3306.205307
67	3221.480879
68	3174.672192
69	3079.831553
70	3047.401899
71	2984.877937
72	2936.838925
73	2907.613366
74	2843.931365
75	2775.087523
76	2739.729444
77	2714.773439
78	2691.350565
79	2666.591316
80	2607.007164
81	2545.760926
82	2523.200098
83	2499.938055
84	2435.778245
85	2394.089266
86	2338.272082
87	2296.572971
88	2252.157698
89	2210.510901
90	2170.373866
91	2126.431387
92	2112.339176
93	2075.549727
94	2062.636948
95	2051.673729
96	2017.463055
97	1961.32116
98	1950.327142
99	1915.038931
