iter	Passed	Remaining
0	0	37
1	0	35
2	1	34
3	1	33
4	1	34
5	2	33
6	2	32
7	2	32
8	3	32
9	4	36
10	4	35
11	4	34
12	5	33
13	5	33
14	5	33
15	6	32
16	6	31
17	6	30
18	7	30
19	7	29
20	7	29
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	10	27
27	10	26
28	10	26
29	11	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	14	23
38	14	23
39	15	22
40	15	22
41	16	22
42	16	21
43	16	21
44	17	20
45	17	20
46	17	20
47	18	19
48	18	19
49	19	19
50	19	19
51	20	18
52	20	18
53	21	18
54	21	17
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	25	15
62	25	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	29	12
70	29	12
71	30	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	37	6
85	37	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	42	3
93	42	2
94	43	2
95	44	1
96	44	1
97	45	0
98	45	0
99	46	0
